PaisAccidente,Fecha,OperadorAerolinea,TipoAeronave,PasajerosABordo,TripulacionABordo,CantidadFallecidos,MuertesPasajeros,MuertesTripulacion
 New Jersey,1919-10-30,US Aerial Mail Service,De Havilland DH.4,0,1,1,0,1
 France,1920-10-02,Latecoere Airlines,Salmson 2-A-2,1,1,2,1,1
 Spain,1920-10-05,Latecoere Airlines,Breguet 14,1,1,2,1,1
 England,1920-12-14,Handley Page Transport,Handley Page HP-16,6,2,4,2,2
 Spain,1920-12-24,Aeropostale,Breguet 14,0,1,1,0,1
 England,1921-08-24,Military - Royal Airship Works,Royal Airship Works ZR-2 (airship),0,49,43,0,43
 France,1921-09-06,Franco-Roumaine,Potez IX,4,1,5,4,1
 Australia,1921-12-05,West Australian Airways,Bristol 28 Tourer,0,2,2,0,2
 France,1922-01-14,Handley Page Transport,Handley Page O/10,4,1,5,4,1
 France,1922-04-07,Daimler Airways / Grands Express Aeriens,de Havilland DH-18 / Farman F-60 Goliath,5,2,7,5,2
 Kent,1922-06-03,Cie des Messageries Aeriennes,Bleriot Spad 27,2,1,3,2,1
 Lorraine,1922-07-16,Compagnie Franco-Roumaine de Navigaation Aerienne,Potez 29,4,1,5,4,1
 Spain,1922-07-26,Grands Express Aeriens,Breguet 14,2,1,3,2,1
 Italy,1922-10-02,de Havilland Air Service,de Havilland DH-9,3,1,4,3,1
 Morocco,1922-12-03,Grands Express Aeriens,Breguet 14,0,1,1,0,1
 France,1923-01-10,Amee de l'Air,Lioré-et-Olivier H-13,2,2,3,1,2
 Spain,1923-01-17,Grands Express Aeriens,Breguet 14,0,1,1,0,1
 Picrdie,1923-05-14,Grands Express Aeriens (Air Union),Farman F-60 Goliath,4,2,6,4,2
 United Kingdom,1923-08-27,Air Union,Farman F.60 Goliath,9,2,1,1,0
 Romania,1923-08-27,Campagnie France Roumaine,Blériot Spad 46,1,1,2,1,1
 Buckinghamshire,1923-09-14,Daimler Airways,de Havilland DH-34,3,2,5,3,2
 Colombia,1924-06-08,SCADTA,Junkers F-13,3,2,5,3,2
 England,1924-12-24,Imperial Airways,de Havilland DH-34B,7,1,8,7,1
 Georgia,1925-03-22,Zakavia,Junkers F-13,3,2,5,3,2
 Spain,1925-04-25,Grands Express Aeriens,Breguet 14,1,2,3,1,2
 France,1925-06-25,KLM Royal Dutch Airlines,Fokker (KLM)  F.III,3,1,4,3,1
 Spain,1925-07-20,Lignes Aeriennes Latecoere,Breguet 14,0,1,1,0,1
 Mauritania,1925-11-14,Lignes Aeriennes Latecoere,Breguet 14,0,1,1,0,1
 Germany,1926-03-08,Deutche Lufthansa,Junkers F-13,0,1,1,0,1
 Czechoslovakia,1926-07-03,Compagnie Internationale de Navigation Aérienne,Caudron C-61,4,2,6,4,2
 Belgium,1926-07-09,KLM Royal Dutch Airlines,Fokker F7,1,1,2,1,1
 Germany,1926-07-24,Deutsche Lufthansa,Junkers F-13,4,1,5,4,1
 Kent,1926-08-18,Air Union,Bleriot 155,13,2,3,2,1
 Kent,1926-10-02,Air Union,Bleriot 155,5,2,7,5,2
 Germany,1926-10-08,Deutsche Lufthansa,Fokker FG III,3,1,4,3,1
 Morocco,1926-11-11,Grands Express Aeriens,Breguet 14,3,0,3,3,0
 France,1927-01-12,Fokker,Fokker F-VII,0,2,0,0,2
 Qld,1927-03-24,Qantas,de Havilland DH-9C,2,1,3,2,1
 Germany,1927-04-22,Deutsche Lufthansa,Fokker FG III,1,1,2,1,1
 Germany,1927-07-27,Deutsche Lufthansa,Junkers F-13,3,2,5,3,2
 England,1927-08-22,KLM Royal Dutch Airlines,Fokker F-VIII,9,2,1,0,1
 Connecticut,1927-09-03,Colonial Air Transport,Fokker Universal,0,1,1,0,1
 New Jersey,1927-09-17,Reynolds Airways,Fokker F-VII,11,1,7,6,1
 Germany,1927-09-23,Deutsche Lufthansa,Dornier Merkur,4,2,6,4,2
 Mauritania,1927-10-06,Lignes Aeriennes Latecoere,Breguet 14,0,2,2,0,2
 France,1927-11-08,CIDNA,Farman F-121 Jabiru,0,1,1,0,1
 Indiana,1927-11-29,National Air Transport,Douglas M-4,0,1,1,0,1
 Spain,1927-12-28,Aeropostale,Breguet 14,0,1,1,0,1
France,1927-12-31,Latecoere Airlines,Latécoère 23 (flying boat),0,5,5,0,5
 New York,1928-01-08,Colonial Western Airlines,Fairchild FC-2,1,2,3,1,2
 Uruguay,1928-01-16,Aeropostale,Latecoere 25,0,2,2,0,2
 Spain,1928-01-22,Aeropostale,Breguet 14,0,2,2,0,2
 Spain,1928-01-27,Aeropostale,Breguet 14,0,1,1,0,1
 Nebraska,1928-02-26,Boeing Air Transport,Boeing 40,1,1,1,1,0
 France,1928-03-11,Air Union,Farman F-60 Goliath,0,2,2,0,2
 Wyoming,1928-04-17,Boeing Air Transport,Boeing 40,1,1,1,1,0
 Spain,1928-04-19,Iberia Airlines,Rohrbach Roland,7,2,9,7,2
" BrazilFlorianopolis",1928-05-07,Aeropostale,Latecoere 26,3,2,1,1,0
 Minnesota,1928-05-12,Ford Air Freight Inc.,Ford 4,0,2,2,0,2
 Germany,1928-05-26,Deutsche Lufthansa,Junkers F-13,4,1,3,2,1
 Germany,1928-06-14,Deutsche Lufthansa,AEGK,4,1,5,4,1
 Kansas,1928-06-22,National Air Transport,Douglas M-4,0,1,1,0,1
 England,1928-07-13,Imperial Airways,Vickers 74 Vulcan,5,1,4,4,0
 Netherlands,1928-07-24,KLM Royal Dutch Airlines,Fokker (KLM) F.III,5,1,1,1,0
 BC,1928-08-25,British Columbia Airways,Ford 4-AT-B Tri Motor,5,2,7,5,2
 France,1928-09-02,CIDNA,Bleriot Spad 33,2,3,5,2,3
 Australia,1928-09-04,Qantas,de Havilland DH.50J,0,2,1,0,1
 Idaho,1928-09-04,National Parks Airways,Fokker Super Universal,6,1,7,6,1
 Germany,1928-09-06,Deutsche Lufthansa,Fokker FG III,2,1,3,2,1
 Spain,1928-10-04,Aeropostale,Breguet 14,2,1,3,2,1
 Pennsylvania,1928-10-18,National Air Transport,Douglas M-4,0,1,1,0,1
 France,1928-10-31,Air Union,Bleriot Spad 56,1,1,1,0,1
 Ohio,1928-11-24,Universal Airlines,Hamilton H-47,2,1,3,2,1
 Ohio,1928-11-25,Continental Air Lines,Travel Air 4000,0,1,1,0,1
 Ohio,1928-11-25,National Air Transport,Douglas M-4,0,1,1,0,1
 Texas,1928-12-01,Sunbeam Air Transport Co.,Ford 4-AT-B Tri Motor,4,1,5,4,1
Brazil,1928-12-03,Syndicato Condor,Dornier Wal,9,5,14,9,5
 Washington,1928-12-10,Spokane Airways,Ford Tri-motor 4,3,2,5,3,2
 Germany,1928-12-11,Deutsche Lufthansa,Junkers G-31,1,3,3,0,3
 Ohio,1928-12-20,National Air Transport,Douglas M-4,0,1,1,0,1
 France,1928-12-31,CIDNA,Blériot Spad 66,2,1,2,2,0
 Connecticut,1929-01-05,Colonial Air Transport,Fairchild FC-2,0,1,1,0,1
 Oregon,1929-01-18,Varney Air Lines,Stearman C-38,0,1,1,0,1
 Greece,1929-01-25,Aeroespresso,CMASA Wal,7,2,2,7,2
 West Virginia,1929-01-31,Skyline Transportation Company,Travel Air 4000,0,1,1,0,1
 New Jersey,1929-03-17,Colonial Western Airlines,Ford 5-AT-B Tri Motor,13,2,14,13,1
 California,1929-03-30,New Standard Airlines,Fokker F-VIIA,3,1,4,3,1
 California,1929-04-21,Maddux Airlines / Military - U.S.Army Air Force,Ford 5-AT-B Tri-Motor / B-PW-9D,3,3,6,3,3
  Pest Hungary,1929-05-18,MALERT,Fokker F-III,0,2,2,0,2
 Cuba,1929-06-13,Pan American Airways,Fokker F-X,1,4,2,1,1
 Spain,1929-06-14,Aeropostale,Breguet 14,0,2,1,0,1
 England,1929-06-17,Imperial Airways,Handley Page W-10,11,2,7,7,0
 Minnesota,1929-06-24,Northwest Orient Airlines,Ford 5-AT-B Tri-Motor,6,2,1,0,1
 Bavaria,1929-06-29,Bodensee Aerolloyd,Domier Delphin III (flying boat),4,1,5,4,1
 Ohio,1929-06-29,Continental Air Lines,Travel Air 4000,0,1,1,0,1
 Russia,1929-08-24,Ukvozduchput,Kalinin K-4,0,1,1,0,1
 Germany,1929-08-24,Deutsche Lufthansa,Fokker FG II,4,1,4,3,1
 California,1929-09-02,Associated Aviators,Lockheed Vega,0,2,1,0,1
 near Grants,1929-09-03,Trans Continental Air Transport,Ford 5-AT-B Tri Motor,5,3,8,5,3
 Iran,1929-09-06,Imperial Airways,de Havilland DH-66 Hercules,2,3,3,1,2
 Ontario,1929-09-14,Skyways,Travel Air 6000,5,1,6,5,1
 Morocco,1929-09-17,Aeropostale,Latecoere 25-3-R,3,2,5,3,2
 Italy,1929-10-26,Imperial Airways,Short Calcutta (flying boat),5,2,7,5,2
 Washington,1929-10-31,Bremerton-Seattle Air Taxi / Gorst Air Lines,Loening C-2C,0,2,2,0,2
 Mexico,1929-11-04,Corp. Aeronautica de Transportes,Lockheed Vega 5,3,1,4,3,1
 Surrey,1929-11-06,Deutsche Lufthansa,Junkers G-24,4,4,7,3,4
 France,1929-11-16,Air Union,Liore et Olivier 190,0,3,3,0,3
 East Sardinia,1929-11-20,S.A.M. Società Aerea Mediterranea,Savoia Marchetti S55,9,3,1,1,0
 Washington,1929-11-30,Varney Air Lines,Stearman M-2 Speedmail,0,1,1,0,1
 Ohio,1929-12-02,National Air Transport,Douglas M-3,0,1,1,0,1
 Germany,1929-12-19,Deutsche Lufthansa,Arado V1,0,2,2,0,2
 Madagascar,1930-01-13,Air Orient,Farman 190,0,3,3,0,3
 California,1930-01-19,Maddux Airlines,Ford 5-AT-C Tri Motor,14,2,16,14,2
 Spain,1930-01-25,Aeropostale,Latecoere 25,0,2,2,0,2
 Connecticut,1930-02-03,Colonial Air Transport,Pitcairn PA-6 Mailwing,0,1,1,0,1
 England,1930-02-10,Air Union,Farman F-63,3,3,2,2,0
 New Jersey,1930-04-18,Canadian Colonial Airways,Fairchild 71,3,1,4,3,1
 Argentina,1930-05-10,Aeropostale,Latecoere 28,2,2,3,1,2
 Massachusetts,1930-06-05,Colonial Air Transport,Ford Tri-Motor 5,13,2,1,1,0
 Denmark,1930-07-07,Deutsche Lufthansa,Dornier Wal,5,3,5,4,1
 Texas,1930-07-10,Cross Airways,Lockheed Vega 5,4,1,5,4,1
 Czechoslovakia,1930-08-22,Ceskoslovenske Aerolinie,Ford 5-AT-C Tri Motor,10,1,10,9,1
