PaisAccidente,OperadorAerolinea,Fecha,LugarAccidente,TipoAeronave
 Russia,AKF Polet,1991-06-26,Gulf of Finland- Russia,Antonov AN-24
 Turkmenistan,Akhal Air,1996-03-12,Karabogazgol Bay- Turkmenistan,Mil Mi-8T (helicopter)
 Italy,Ala Littolia,1940-12-24,Capri Island- Italy,Savoia-Marchetti SM.75
 Egypt,Ala Littoria,1935-08-07,Cairo- Egypt,Savoia-Marchetti S-66
 Sudan,Ala Littoria,1937-08-02,Wadi Halfa- Sudan,Savoia-Marchetti SM73
 Germany,Ala Littoria,1937-12-04,Munich- Germany,Junkers JU-52
 Italy,Ala Littoria,1938-04-30,Near Formia- Italy,Junkers JU-52
 Italy,Ala Littoria,1938-07-14,Off Sardinia- Italy,Savoia Marchetti S-66
 Italy,Ala Littoria,1940-03-16,Stromboli Island- Italy,Savoia Marchetti SM 73
 Italy,Ala Littoria,1941-07-30,Rome- Italy,Macchi C.100
 Libya,Ala Littoria SA,1936-09-24,Benghazi- Libya,CRDA CANT Z-506
,Ala Littoria SA,1938-02-13,Mediterranean Sea,Cant Z-506
 Italy,Ala Littoria SA,1940-02-10,Near Cosenza- Italy,Savoia-Marchetti SM-75
 Angola,ALADA,1997-03-12,Lucapa- Angola,Antonov AN-12B
 Angola,Alada,1998-08-11,Saurimo- Angola,Antonov An-12BP
 Colorado,Alamo Airways,1966-07-11,Hideaway Park- Colorado,de Havilland 104-6A
,Alantis Aviation,2008-12-15,Off Turks and Caicos Islands,Britten Norman BN-2A Trislander Mk3
 Panama,Alas Chiricanas,1994-07-19,Colon- Panama,Embraer 110P1 Bandeirante
 Argentina,Alas del Sur,1998-07-16,Córdoba- Argentina,Rockwell Sabreliner 60
 Domincan Republic,Alas Nacionales leased from Birgen Air,1996-02-06,Off Puerto Plata- Domincan Republic,Boeing B-757-225
 Alaska,Alaska Aeronautical Industries,1977-09-06,Mt. Iliamna- Alaska,de Havilland Canada DHC-6 Twin Otter 200
 Washington,Alaska Airlines,1947-11-30,Seattle- Washington,Douglas C-54A
 Alaska,Alaska Airlines,1949-01-20,Homer- Alaska,Douglas DC-3C
 Alaska,Alaska Airlines,1954-08-08,Near McGrath- Alaska,Douglas DC-2
 Alaska,Alaska Airlines,1956-10-02,Near Nome- Alaska,Stinson AT-19
 Washington,Alaska Airlines,1957-03-02,Blyn- Washington,Douglas C-54B
 Alaska,Alaska Airlines,1961-07-21,Shemya- Alaska,Douglas DC-6A
 Alaska,Alaska Airlines,1971-09-04,Near Juneau- Alaska,Boeing B-727-193
 Alaska,Alaska Airlines,1976-04-05,Ketchikan- Alaska,Boeing B-727-81
 California,Alaska Airlines,2000-01-31,Off Point Mugu- California,McDonnell Douglas MD-83
